,caloric_af_in_pr,caloric_af_in_vl,caloric_af_ex_pr,caloric_af_ex_vl,caloric_af_in_pr2,caloric_af_in_vl2,caloric_af_ex_pr2,caloric_af_ex_vl2
St. Vincent and the Grenadines,-0.12133473492551021,-0.02089078724010238,-0.008009845049544984,0.01455292654658402,-0.07710242771042948,-0.05396124251815757,-0.004937736989223666,0.008361131351789348
Sudan,,,-0.006310271381930462,-0.008188778713344405,,,-0.004044600275974231,-0.010715060485049402
Suriname,-0.026715880996910538,0.04153447359877891,-0.021601106858848033,-0.047265473744310595,-0.00311157563314012,0.010822488377028863,-0.022530166619532454,-0.04510830358550833
Swaziland,-0.0403037544530954,-0.033991272272932374,0.021352364788031538,-0.017405163644153652,-0.03758889165956387,-0.03946638277245817,0.012532278578910356,0.001471760375503045
Sweden,-0.025140204312443414,-0.025465820945282512,5.3117984850936615e-05,0.005425817739983106,-0.026370828524282977,-0.02458190557740841,0.00013542712668151944,0.004515742430510294
Switzerland,-0.00015984585319843834,-0.008336205602358284,-0.0006983092664875914,-0.0047801311846330475,-0.0028124709156881335,-0.005305515771339264,-0.00022149706670024371,-0.005174984256385648
Syria,-0.03683443870836447,-0.016516270329245245,-0.004375086743286055,-0.020382620813081925,-0.02898325062308215,-0.019406237517404383,-0.0017401244991160887,-0.022596498103840883
Taiwan,0.001501393791658991,0.011862440929073488,-0.015523510713579563,0.00919817945406234,0.004705653193262053,0.009160351878589953,-0.016491791835378793,0.009676002205258374
"Tanzania, United Republic of",0.02217286222142434,0.022240976244240325,0.014628846619930079,0.020479339229231525,0.021657601649511218,0.022910633671236514,0.017092688887304947,0.01798942869091894
Thailand,-0.0005631840896680959,-0.00524828486357923,-0.017170238707941383,-0.008794223578006364,-0.0008509565921973136,-0.0036397872997919476,-0.01993255651740114,-0.007235946633853707
Togo,-0.019910255666245803,-0.01142169946646427,0.052391187995765996,0.01649380061080216,-0.017056503583220348,-0.010761463580249812,0.05925012467415916,0.01481065876885166
Tonga,0.004664989866666995,0.012800393051890728,,,0.005304036301023525,0.015210249859407672,,
Trinidad and Tobago,0.005324708778184928,0.011310291722354515,0.004317897935493773,-0.012410132832463018,0.008055670132315867,0.011259720025565502,0.005005242420596208,-0.013888255563332662
Tunisia,-0.001576830630337655,-0.003018486485527312,-0.01584323433191143,0.03558254311371161,-0.0028956365197199806,-0.002361278262132621,-0.014973331999042137,0.032305520274821004
Turkey,0.006853602049815095,0.004056581448354139,0.012454427138537427,0.018670103743247665,0.009211546909947773,0.0027241446646572385,0.013103662009689356,0.01711530230435943
